% Model,FBAR_Sc30AlN200nm_Mo100nm_2p5to7p5GHz_16jul25_S.mph
% Versjon,COMSOL 6.1.0.346
% Date,"Jul 28 2025, 11:49"
% Table,Table 2 - Z parameter
% freq (Hz),"w_edge=0.20649, t_edge=1.0898, t_ScAlN=0.25398, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.23616, t_edge=1.9328, t_ScAlN=0.46646, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.31752, t_edge=1.7884, t_ScAlN=0.29408, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.42666, t_edge=2.3908, t_ScAlN=0.32704, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.26543, t_edge=2.763, t_ScAlN=0.47372, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.2, t_edge=0.82689, t_ScAlN=0.31882, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.37007, t_edge=0.05, t_ScAlN=0.25835, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.22838, t_edge=0.58157, t_ScAlN=0.46352, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.65045, t_edge=0.84315, t_ScAlN=0.35532, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.26902, t_edge=2.0441, t_ScAlN=0.41348, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.20294, t_edge=1.6227, t_ScAlN=0.3561, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.39019, t_edge=1.3336, t_ScAlN=0.36057, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.40822, t_edge=1.6571, t_ScAlN=0.4289, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.27578, t_edge=2.5882, t_ScAlN=0.5, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.36899, t_edge=1.7976, t_ScAlN=0.49887, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.39381, t_edge=1.9257, t_ScAlN=0.36216, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.30808, t_edge=2.191, t_ScAlN=0.2516, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.28913, t_edge=2.6501, t_ScAlN=0.34745, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.3386, t_edge=1.2992, t_ScAlN=0.3167, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.21356, t_edge=1.4986, t_ScAlN=0.46069, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.31262, t_edge=0.83409, t_ScAlN=0.38602, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.48795, t_edge=1.6227, t_ScAlN=0.37064, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.2, t_edge=2.4971, t_ScAlN=0.23957, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.31673, t_edge=2.865, t_ScAlN=0.42538, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.20473, t_edge=2.5336, t_ScAlN=0.37291, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.3205, t_edge=2.6406, t_ScAlN=0.22561, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.29293, t_edge=2.2195, t_ScAlN=0.29662, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.25855, t_edge=2.0975, t_ScAlN=0.4745, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.25203, t_edge=1.1568, t_ScAlN=0.462, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.53724, t_edge=0.65587, t_ScAlN=0.38301, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.22719, t_edge=2.5309, t_ScAlN=0.41866, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.31515, t_edge=0.91567, t_ScAlN=0.48898, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.30914, t_edge=2.5161, t_ScAlN=0.23356, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.24037, t_edge=1.8335, t_ScAlN=0.21739, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.21434, t_edge=2.1398, t_ScAlN=0.5, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.35318, t_edge=0.6518, t_ScAlN=0.3702, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.31872, t_edge=2.9903, t_ScAlN=0.32693, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.28416, t_edge=3, t_ScAlN=0.21663, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.2, t_edge=2.3659, t_ScAlN=0.29735, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.31554, t_edge=2.5987, t_ScAlN=0.30806, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.49033, t_edge=1.3649, t_ScAlN=0.3893, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.2, t_edge=2.0516, t_ScAlN=0.43216, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.33297, t_edge=2.063, t_ScAlN=0.20177, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.29453, t_edge=2.6365, t_ScAlN=0.24287, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.294, t_edge=1.6162, t_ScAlN=0.30533, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.21267, t_edge=1.3257, t_ScAlN=0.36637, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.22613, t_edge=1.463, t_ScAlN=0.29226, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.22987, t_edge=1.5334, t_ScAlN=0.28508, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.24024, t_edge=0.61666, t_ScAlN=0.49871, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.35605, t_edge=2.2898, t_ScAlN=0.4385, es.zref*(1+es.S11)/(1-es.S11) (Ω)"
2.5E9,74.27515128295877-913.9913328709912j,46.587275272405776-1486.833260089799j,11.78416717932777-957.206884566104j,14.92281480743265-1097.6250684245447j,137.69175309764248-1524.8497069720677j,29.910755769202535-1087.541940154072j,9.923368374361035-872.930908770286j,20.288663582219936-1614.0964447800268j,17.084522223052247-1210.656815749297j,20.718725477645226-1423.7518467789948j,21.29925733326436-1038.7090898150982j,16.253014319001952-1207.0442694727374j,20.12049127988756-1517.7884843604409j,17.409780425654887-1379.0283279308273j,167.4404259694311-1657.6348063606488j,15.789767912191538-1165.687896534509j,11.643259975584984-848.2692966195176j,10.636650035128621-1127.684144313718j,16.898844816335036-1036.1228610773787j,78.03468188688304-1459.0246989005993j,25.8937600127906-1251.9509619137332j,20.209831772696038-1379.386970937955j,31.37999362423596-729.7022566805556j,16.437916243354106-1403.6275835873312j,60.11819467293952-1426.2721453334098j,9.258176273932403-785.854290960374j,17.1652313134204-993.452357627185j,29.008175811878992-1592.9497254621174j,16.646543805324466-1508.8122167700026j,12.9309395938316-1315.1298539383727j,15.147121496542233-1213.8092370062102j,21.323260288348333-1550.4679338355966j,45.54724640371445-826.9075431594907j,8.629623253695362-751.4951229686981j,468.8739053671896-2411.371791371846j,43.11413989330416-1358.7967467386256j,14.262979509347783-1126.1762362141237j,18.86816829359749-716.5367779965837j,11.507835512026443-995.2294130105729j,120.70640433752644-1080.6242383109554j,18.528797173696535-1313.5043783603687j,195.95751541444642-2029.0647755356667j,65.2795330446299-615.8521915447917j,7.533116020246615-813.587161483946j,25.18272879195778-995.5490601385636j,31.37688593700675-1265.1111593110422j,16.17116963295108-980.522590966034j,36.18696176802639-934.8086904500035j,26.832147767931048-1714.7868887714762j,14.034921694251883-1438.3260706629123j
2.516722408026756E9,16.96295901194723-847.2614477722235j,124.09294192640056-1438.0017419240899j,190.01884621618285-1048.306405424374j,9.634633172173636-1069.0190050875158j,21.977198294577043-1610.4506271493867j,12.516604640749055-1078.6232165327442j,11.759310359957722-850.6059591164978j,22.567827044926567-1525.8510201831202j,16.55695969618034-1169.9823142896232j,20.90336385328776-1363.3293206197225j,62.97519561993568-735.7308397838889j,11.14824882978434-1175.6979748593599j,26.49937004546525-1491.158416672608j,487.8708171701831-1236.224366186332j,50.07543657192183-1665.865587413719j,51.67062436148348-1314.8768492380107j,10.808776608390676-847.2943164789527j,11.671238462138618-1105.395170102082j,23.58070697101493-1001.1554603277808j,30.44493816866403-1510.347314385801j,14.027650896796983-1264.7853036013164j,27.051839818601543-1339.477154218638j,14.749475070188808-821.8201850994093j,34.535144775694114-1544.1816424085466j,43.96398777908719-1305.6182590963842j,9.212078534757875-754.9507716892875j,12.045483135951518-971.7025839974173j,15.01776427975234-1530.1650997898284j,26.776690334004478-1492.5924280124873j,236.0469434711093-1279.930209675622j,234.96797420120137-1113.537750200887j,23.75785393771789-1571.8128375556719j,7.76842718998209-781.4197740799967j,7.268141028963825-737.4297970789098j,135.0546985216456-1680.0766887022774j,120.35872767558789-1146.6237913923105j,12.772918427582006-1143.700288081182j,7.977368949078949-733.7817129309881j,9.553137858825302-977.9699792942473j,11.390123182959663-1022.9130895725388j,17.09051049601392-1283.0832901449398j,61.33182180243963-1400.670753570591j,7.240681621583254-687.7234764918954j,8.040150882640194-803.3851245143867j,66.91920923107419-1109.503267138158j,15.796010050899213-1190.5472613742122j,18.52962914019106-988.4688275850076j,13.895403985629434-969.1404389519241j,22.90731692947248-1621.9401810130269j,17.984241536540278-1413.1679934689737j
2.5334448160535116E9,8.745235773460466-847.2037343257939j,67.3427391247501-1522.7378218285728j,71.99208179441433-1079.8092474022926j,9.422288747135408-1054.5335182940146j,194.1907861146049-1734.7145868429534j,112.58863389152853-918.6458699268775j,14.417055288370666-864.7784985504245j,24.344497605670284-1577.5981889000052j,14.994518031330106-1172.101301059779j,15.530498912998684-1355.0712305484778j,118.09458670104847-1590.807878439756j,10.82049455061866-1154.824008932167j,27.923565889017986-1484.5712047679046j,631.2090213943179-780.9720699745643j,32.67973191165987-1597.7888640407564j,68.51962117983182-1160.4973694400483j,12.509296474052961-830.857308174159j,10.134545781104443-1082.0018838266294j,9.529397372934856-1037.9155828030405j,129.59688962515656-1297.8454737285613j,12.975815044217388-1266.746303601669j,16.848480530378673-1300.6135193666776j,7.7437585476806765-789.5978816124135j,45.307359332912206-1452.4949699668055j,17.861715931598177-1200.5766008642067j,9.237742586857344-758.371018844107j,35.25045523601525-971.327340383555j,17.648879947845348-1484.9465136503734j,30.09782897680465-1463.2604863925098j,18.437239478618114-1288.3480055830626j,38.87348914877556-1347.500761671412j,22.845193623322995-1509.530369517405j,59.16904173151361-670.4896045479411j,7.827916205930019-716.6915264909641j,22.015101995375716-1648.2687874984256j,38.81874784607577-1231.3932856258618j,12.63889923674377-1105.1835968537634j,7.302841129825935-721.1524636527527j,8.628528007852394-963.4736456881492j,69.85123591053164-956.2103952615856j,34.240267806847584-1268.9184920724792j,96.23383917552336-1466.0669978083322j,7.181811636704796-672.5919734187611j,8.321919795240671-800.7587734753715j,12.39615954348226-1045.289848479503j,28.982014549797945-1228.1030010766397j,23.605914376698795-944.5560452541952j,8.998580459583684-949.189538703198j,67.24441992346897-1661.3414066936439j,14.79892942634268-1377.0548800932459j
2.5501672240802674E9,8.258298556673592-829.2749233683724j,16.947626115626317-1480.8893479828353j,12.302887106574456-925.1309247788718j,9.554092686478459-1040.7253414171057j,26.123806700949217-1601.1329395263679j,18.518016187101033-1099.2668043824767j,9.950118305693216-839.5983562663639j,20.335388510476445-1502.5389870393328j,14.470447936792132-1170.115624270056j,23.04786761989851-1306.2227940515827j,45.830038239441855-1104.1795581621004j,12.741907335314666-1145.6915996717432j,23.99890078592047-1483.9992122804726j,81.03622397061463-1747.286994454455j,17.506526073336605-1625.0851333183464j,49.407484841717825-1162.9843885034172j,7.653673620463825-823.2282387475539j,9.929703248319644-1047.8067224053848j,10.140638539332006-1018.9873303261168j,77.37951976670205-1403.8427429744972j,14.944458960729433-1223.884996161465j,28.547237839194622-1243.9268006125885j,15.879037706701988-795.2130289583284j,28.93386074244826-1478.9927782042396j,28.226176917198504-1073.3656055313704j,7.172995096302663-739.9667998736816j,8.925101503390025-960.6108954516336j,53.65260007038666-1569.8478682708471j,15.03577198064923-1466.1869745081076j,20.161443743800938-1267.3990590768199j,365.15865713923506-1746.4670025215528j,29.087366088137657-1576.929154398643j,10.567721026396907-792.945572243137j,37.70304392346977-802.9696364156354j,20.858693618384017-1586.8363549134492j,168.16088094102707-1245.6193482944934j,15.993545833072895-1086.8291056720104j,6.545761792308801-717.2771124873652j,11.021116561981348-930.7364722775291j,34.6193625368644-1065.2893410460763j,14.054750231878986-1223.5338325937244j,23.720741023275966-1436.2612038829895j,10.56304097588809-663.5926434940181j,9.023355313802915-792.1040349590174j,11.483428309647248-1020.6831367433175j,22.11245047238105-1107.1740526314572j,35.837143949465386-1014.0208207435102j,8.69388618289919-934.3302127840063j,21.358082430241858-1607.0238356776088j,13.00361935472084-1373.7450831070717j
2.5668896321070232E9,9.301305752830228-823.446928220855j,21.976329954501587-1455.5348453829147j,26.907163151932906-885.3117258073927j,11.31991565009905-1022.022330530291j,154.62265995989623-1700.8398114761783j,10.989355958695418-1045.0105761247992j,7.846731343248026-835.2657753222463j,26.302134477341774-1444.867121364595j,13.31839502342383-1158.342988266469j,14.233798835832904-1347.9702458796264j,16.580899549889114-1215.9117569018586j,13.096776116757516-1140.1952582203135j,14.689219457581926-1415.8826216427426j,66.72385065497187-1626.9597191445052j,18.468994655920135-1612.5356090943783j,26.235009215344604-1248.2954678255533j,7.55735645231845-813.8157176956871j,16.33821650443397-967.724162711125j,11.95748832330355-1001.8703285079312j,112.06263440305857-1695.9549593867846j,58.976114179567055-1218.9325670828443j,13.766401581058561-1271.5778290440917j,22.972697555900165-813.4545595386533j,54.281654048505004-1397.3011667632477j,68.18465105484457-1125.6233827463723j,6.731022940557758-728.5221302794079j,9.265151072783162-942.6521998128019j,17.04607480577066-1504.3263235383458j,85.92552324089071-1302.001106491773j,56.21587524631728-1331.5132719425171j,134.17889341906348-1506.3856503071006j,123.76090538761852-1550.7438216559221j,7.617113844902091-772.6825079247691j,7.1355215280255795-720.3813854088912j,245.27404884025714-1501.444289389348j,22.01270360896478-1246.8513163631603j,14.250335277873448-1074.045417805917j,6.390696323467235-706.5132115160013j,33.06596604045327-949.9761653439051j,13.934246634722895-993.1003478151264j,13.80701532616224-1215.656597144314j,81.79143532347038-1462.1844655166967j,26.384730328866738-691.8646691795296j,7.089675309662058-779.8285744902989j,10.022571586743943-999.5272776674667j,50.74266195155585-1324.2149372849158j,9.799082105308932-961.2619171815317j,11.79078894581773-907.1165569852911j,104.46154503760329-1477.60020654337j,13.05144451045977-1337.767385204476j
2.583612040133779E9,12.700380329338488-799.5256859178216j,25.10360010580602-1501.3083631110796j,45.26266906230607-983.7815537402025j,9.003668876603907-1017.2849808040856j,19.688361755157192-1541.0807840934183j,10.681163263203826-1011.6384504719505j,8.210350605805655-823.9159574581633j,45.44823600196559-1523.3577869080698j,10.583480997170813-1147.9150478430283j,19.36068900176374-1306.80097586744j,16.128454936730215-1168.6556229994233j,10.711949805076763-1118.5022229408173j,16.420333474607872-1406.5137030824264j,44.73745031958458-1603.1633784084802j,18.22751725244556-1570.2561384271828j,23.79398200848492-1173.9533942934818j,8.480107998547776-817.4740255080786j,86.35844762857053-1027.5978662947473j,10.294276837725853-1006.5278277055619j,45.41398074529096-1456.8967414233673j,168.43061080138025-1278.4057699718605j,42.67283488784746-1315.1719756528498j,7.952113227107073-776.2295376531102j,35.09951262906768-1465.2090197047232j,19.419880507392833-1270.018023767855j,14.181986149885041-735.4512420553131j,15.405908745243941-913.7870784991343j,26.587456583539627-1456.239916486365j,16.1841982340006-1442.5189144252597j,12.493426955066628-1266.0780895181952j,105.85196249499958-1372.1293225972631j,40.30525372892254-1502.4050408574676j,7.082710651292346-750.5477953825978j,6.56958590042845-712.6791263503209j,18.517940900925467-1605.3519363109478j,123.492747185307-1276.0597892985147j,12.262742854659283-1069.3464723976442j,11.250297155936652-699.115331612038j,10.798876490341184-934.8788035921916j,16.756218389705378-996.5795907392709j,191.52032294531773-1153.1670655893374j,29.311556812643705-1415.7468354145149j,9.429550510327475-655.9969701454175j,6.745146909235324-771.4666767366078j,10.345909377572319-976.7107613975097j,22.11493634294402-1214.055252879303j,9.148204336382044-940.2046105977795j,12.324345800374486-924.1955306383766j,30.0819401405428-1644.7592660175362j,13.050671975121944-1320.414734011119j
2.6003344481605353E9,16.630381245905692-816.415948363964j,30.058050139586243-1468.0771225134738j,17.095070497474193-971.8626285188972j,8.8256603067486-993.2278912998952j,18.4840564210662-1534.209702536132j,127.73077903103473-883.8684084879924j,12.333194140416259-836.1890298633319j,17.06482889122992-1506.0607806203511j,13.380358805102102-1145.3042023866315j,13.047027364820952-1299.3145243314455j,77.24831190329272-1317.887483993253j,11.934346465315294-1098.8153116300286j,14.967572994363897-1384.4046827194893j,43.94963926283318-1626.3940454883937j,153.20692779616132-1542.5312613630635j,44.18975922957644-1140.6441426030779j,7.50232423698659-803.6419818122513j,93.4516283490133-1155.9135969700963j,9.799994892802843-994.4571263917402j,25.854812148704628-1523.9518932154601j,18.1254746024967-1265.8042684907111j,14.679093442782223-1243.453818001662j,8.774455833728592-775.6333784217195j,20.714997526409757-1358.45112920032j,140.00573544471834-1056.1390353267236j,11.918527256404225-733.222563741797j,19.48797290493319-904.0241054753072j,44.754081755057626-1439.9100483289476j,35.11865092381867-1427.242002535436j,22.746676670681936-1228.350674207116j,554.3825842690911-344.0632717447461j,118.74303945453494-1619.1244460357577j,7.29427326757584-750.8743503310042j,16.328970119040914-704.6456617501128j,16.70220085453943-1539.7487545663746j,11.735136205676435-1211.1200981595541j,28.645331015002597-1044.3783946834803j,15.474321878675784-706.1551001160082j,15.68690288277094-948.0287348030773j,10.7381488659313-962.8209720617515j,16.854347958581265-1149.8828353962056j,34.187387615248504-1394.3901557328782j,5.9372984638114765-651.1276114647229j,7.920980690815187-756.1508654172635j,17.693646591402583-927.8320830250428j,78.22931407924338-1058.677283262242j,15.69078639657221-927.0063451083503j,32.14316342039871-940.6730486107244j,18.844475722510413-1581.315230657776j,28.317204423092544-1249.7072700694584j
2.617056856187291E9,21.00667022507985-825.1582740665665j,18.62388996167592-1426.6738112140104j,10.419482243719864-968.9888068716797j,9.57060981889809-967.8198099824368j,104.36084604319811-1443.3343555561037j,11.599678126695965-1015.6752539152508j,16.879062276976192-808.1916038948759j,45.73727341766-1464.780211833318j,12.077112257142705-1129.7374697105506j,17.984573133043746-1287.1090403066983j,22.188648853307548-1124.017591340662j,47.40698262003064-1117.2560030259401j,37.36183744084403-1442.4950261749896j,35.09816346258024-1650.996927343099j,21.43420127532459-1532.4144448813522j,24.50708417019036-1158.941374843519j,7.870719068125482-799.8419044559454j,33.29697688764406-1174.3478322123767j,14.37844115603922-991.2874092865351j,22.608326544452545-1456.2120284444j,17.129960407241658-1228.2266971410727j,14.060116299369954-1205.7989457048488j,40.26223962329897-825.695157773575j,32.35303427843978-1385.9438327881512j,11.692560152149738-1173.3125249301077j,15.589258839158221-720.8333053883139j,9.728512094185138-926.6220752094309j,25.469029447625484-1379.2300914282384j,23.069890101119988-1399.030671139008j,12.179553375266218-1245.0838033473672j,31.250716799506865-1477.7626484840187j,20.68624662959079-1525.6532621098224j,10.407581132753824-718.7828645577275j,7.3720334149133055-690.8828659331933j,48.274600317280104-1519.074998795218j,12.65968169560739-1195.3190936215096j,10.621823499709258-1028.1746196049457j,9.915016835309261-713.5437478293026j,38.77102344753673-986.9396828295269j,15.817918052149702-927.3179614243772j,148.84412553275095-875.1897320696999j,15.589052376433333-1370.4927042730262j,8.866428246613593-644.1242467603938j,7.7657292750810285-745.5951301912949j,38.74506317588221-905.9886779194053j,15.09653481199522-1186.4445564342968j,11.102302823313845-926.6248134054134j,10.337277581879881-919.0910373136822j,75.21989442303573-1562.7007146302055j,107.55926318571-1493.755919321144j
2.633779264214047E9,16.56317407106433-802.3357214227005j,15.117573089029356-1428.7236271022814j,11.274170333282527-928.4089382763522j,44.42501419781205-930.3035446828035j,20.27464326012723-1436.7784576790782j,13.110775842152753-1033.8290564295185j,7.741527996576336-812.7516461218264j,29.3722324524001-1399.3345118859881j,10.827198753403017-1122.5328337117799j,15.246451576163873-1258.226069071245j,12.450016283658856-1152.2425393499288j,9.54709579988879-1062.8203326084897j,33.092479542948816-1385.4232159465764j,21.146816634597958-1611.2650430299682j,19.39725007272682-1557.4076284515725j,57.35137186242824-1170.7444813747572j,9.076459520579094-786.215127109544j,136.5124618896704-1124.5450468558188j,8.806815669701507-971.6075330488253j,28.19419057860113-1461.5579834826835j,13.450193451024857-1209.2601335679267j,20.804098247008337-1213.1009834103622j,10.650051445406156-762.0762979236731j,18.57107539439396-1320.963948747045j,32.9514508133459-1070.8666234146558j,6.988931399212872-707.9401881138738j,192.8799799003146-942.7776070406254j,47.681407212640025-1513.2308386963427j,13.430913200934075-1379.1602431271297j,19.17635811655212-1220.5355314583776j,96.76120491566112-1389.2878828427838j,22.64765891459816-1479.4342661611345j,28.297114194097677-770.1615351832645j,7.852021604399686-688.7562196908657j,25.179277151275453-1572.1510383902953j,20.36168360094971-1157.566761980336j,23.015212922165055-1041.0540076589741j,7.450482809689437-685.5701136035915j,19.52926674142078-898.4368811678103j,18.869400372446382-980.5595354831404j,39.82065355831836-989.7735177347864j,22.36129010862354-1325.441004116235j,8.783223170470022-646.0554130478629j,10.822366946567428-708.7078732836969j,13.436961359170839-1006.1639877607289j,11.75203923289286-1145.3588115197215j,19.589657726198116-890.6421750604418j,8.985297376314637-892.6269765920347j,29.420097568415866-1510.7729502935833j,16.304226617296557-1301.0826469951878j
2.650501672240803E9,23.709977135757754-787.8760535742956j,20.389348405823988-1445.2266967638695j,11.612132971293553-935.536238707786j,15.271099490723978-919.1140568166297j,17.546470193216415-1471.8138047637703j,10.860744080267548-1001.415471398286j,7.697160722112698-803.9885436685771j,17.99350992761611-1422.246171808084j,60.94753584063866-1100.6884416396354j,23.468079094493696-1237.1410822032483j,20.20035234547012-1129.4586953545002j,9.934560430392684-1033.1956813882293j,22.992427473596386-1357.512904156274j,21.465427836430923-1533.8467067678155j,19.736953807208952-1510.1471802092628j,10.835014792390988-1137.7044989407264j,15.419771027137664-769.1565179560124j,15.45487770347054-1149.7288501555663j,17.10555871079079-967.9483442641214j,200.69685921484742-1367.0920383721234j,12.869576578287951-1167.588949987389j,23.486711221722548-1144.83188429359j,24.856564498340067-807.0650177334579j,16.450961417270648-1331.095714697778j,20.255252611906503-1162.6596902813542j,6.151447116375025-698.5711301218869j,10.176015538040174-922.1491109478683j,201.38415066326243-1675.2540041655977j,96.24491432736491-1375.7369258842145j,11.406967811124664-1221.6700705025266j,124.07003454890999-1309.316162904001j,58.46633984778432-1333.5104215852132j,26.964536375892834-708.5283942147804j,29.83058184165005-649.1911781716868j,32.21919500133922-1512.829705320408j,17.69952926382037-1162.3030089722984j,30.397395140304585-1039.3865180952446j,11.08734394989945-679.175236017135j,9.152161292028902-907.8412211304351j,11.258619155699577-941.6195155152088j,109.44880888631663-1003.3128266956935j,17.36730358233352-1279.610892926593j,19.99603871340208-643.162073564861j,38.849402684975246-619.7319489681174j,21.51587974819001-974.8017943589834j,49.937365768266616-1051.1952665734502j,22.715392068293017-976.8890020144345j,14.21678179981799-880.0367483398218j,18.252929763079454-1490.7147654476494j,17.955740357838675-1263.8761330054022j
